DATETIME_VALUE
2021-01-01 00:00:00
2020-02-10 11:30:00
2019-03-21 23:00:00
2018-04-30 10:30:00
2017-06-08 22:00:00
2016-07-18 09:30:00
2015-08-27 21:00:00
2014-10-06 08:30:00
2013-11-14 20:00:00
2012-12-24 07:30:00
2012-02-02 19:00:00
2011-03-14 06:30:00
2010-04-22 18:00:00
2009-06-01 05:30:00
2008-07-10 17:00:00
2007-08-20 04:30:00
2006-09-28 16:00:00
2005-11-07 03:30:00
2004-12-16 15:00:00
2004-01-26 02:30:00
2003-03-06 14:00:00
2002-04-15 01:30:00
2001-05-24 13:00:00
2000-07-03 00:30:00
1999-08-12 12:00:00
1998-09-20 23:30:00
1997-10-30 11:00:00
1996-12-08 22:30:00
1996-01-18 10:00:00
1995-02-26 21:30:00
1994-04-07 09:00:00
1993-05-16 20:30:00
1992-06-25 08:00:00
1991-08-04 19:30:00
1990-09-13 07:00:00
1989-10-22 18:30:00
1988-12-01 06:00:00
1988-01-10 17:30:00
1987-02-19 05:00:00
1986-03-30 16:30:00
1985-05-09 04:00:00
1984-06-17 15:30:00
1983-07-28 03:00:00
1982-09-05 14:30:00
1981-10-15 02:00:00
1980-11-23 13:30:00
1980-01-03 01:00:00
1979-02-11 12:30:00
1978-03-23 00:00:00
1977-05-01 11:30:00
1976-06-09 23:00:00
1975-07-20 10:30:00
1974-08-28 22:00:00
1973-10-07 09:30:00
1972-11-15 21:00:00
1971-12-26 08:30:00
1971-02-03 20:00:00
1970-03-15 07:30:00
1969-04-23 19:00:00
1968-06-02 06:30:00
1967-07-12 18:00:00
1966-08-21 05:30:00
1965-09-29 17:00:00
1964-11-08 04:30:00
1963-12-18 16:00:00
1963-01-27 03:30:00
1962-03-07 15:00:00
1961-04-16 02:30:00
1960-05-25 14:00:00
1959-07-05 01:30:00
1958-08-13 13:00:00
1957-09-22 00:30:00
1956-10-31 12:00:00
1955-12-10 23:30:00
1955-01-19 11:00:00
1954-02-27 22:30:00
1953-04-08 10:00:00
1952-05-17 21:30:00
1951-06-27 09:00:00
1950-08-05 20:30:00
1949-09-14 08:00:00
1948-10-23 19:30:00
1947-12-03 07:00:00
1947-01-11 18:30:00
1946-02-20 06:00:00
1945-03-31 17:30:00
1944-05-10 05:00:00
1943-06-19 16:30:00
1942-07-29 04:00:00
1941-09-06 15:30:00
1940-10-16 03:00:00
1939-11-25 14:30:00
1939-01-04 02:00:00
1938-02-12 13:30:00
1937-03-24 01:00:00
1936-05-02 12:30:00
1935-06-12 00:00:00
1934-07-21 11:30:00
1933-08-29 23:00:00
1932-10-08 10:30:00
1931-11-17 21:59:59
1930-12-27 09:29:59
1930-02-04 20:59:59
1929-03-16 08:29:59
1928-04-24 19:59:59
1927-06-04 07:29:59
1926-07-13 18:59:59
1925-08-22 06:29:59
1924-09-30 17:59:59
1923-11-10 05:29:59
1922-12-19 16:59:59
1922-01-28 04:29:59
1921-03-08 15:59:59
1920-04-17 03:29:59
1919-05-27 14:59:59
1918-07-06 02:29:59
1917-08-14 13:59:59
1916-09-23 01:29:59
1915-11-02 12:59:59
1914-12-12 00:29:59
1914-01-20 11:59:59
1913-02-28 23:29:59
1912-04-09 10:59:59
1911-05-19 22:29:59
1910-06-28 09:59:59
1909-08-06 21:29:59
1908-09-15 08:59:59
1907-10-25 20:29:59
1906-12-04 07:59:59
1906-01-12 19:29:59
1905-02-21 06:59:59
1904-04-01 18:29:59
1903-05-12 05:59:59
1902-06-20 17:29:59
1901-07-30 04:59:59
1900-09-07 16:29:59
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
2020-02-10 11:30:00
2021-01-01 00:00:00
